cell	frip
mSp_rep11_371	0.750169
mSp_rep11_372	0.739649
mSp_rep11_373	0.725020
mSp_rep11_374	0.744425
mSp_rep11_375	0.728786
mSp_rep11_376	0.731352
mSp_rep11_377	0.731300
mSp_rep11_378	0.672354
mSp_rep11_379	0.732010
mSp_rep11_380	0.725984
mSp_rep11_381	0.572555
mSp_rep11_382	0.706662
mSp_rep11_383	0.693020
mSp_rep11_384	0.774194
mSp_rep1_001	0.744404
mSp_rep1_002	0.773625
mSp_rep1_003	0.809982
mSp_rep1_004	0.794137
mSp_rep1_005	0.638030
mSp_rep1_006	0.746180
mSp_rep1_007	0.780015
mSp_rep1_008	0.658773
mSp_rep1_009	0.806024
mSp_rep1_010	0.752187
mSp_rep1_011	0.745669
mSp_rep1_012	0.770065
mSp_rep1_013	0.787283
mSp_rep1_014	0.772476
mSp_rep1_015	0.735566
mSp_rep1_016	0.751383
mSp_rep1_017	0.809014
mSp_rep1_018	0.647250
mSp_rep1_019	0.749173
mSp_rep1_020	0.752279
mSp_rep1_021	0.620242
mSp_rep1_022	0.693444
mSp_rep1_023	0.752093
mSp_rep1_024	0.775332
mSp_rep1_025	0.603627
mSp_rep1_026	0.686174
mSp_rep1_027	0.783995
mSp_rep1_028	0.699589
mSp_rep1_029	0.770391
mSp_rep1_030	0.759903
mSp_rep1_031	0.741384
mSp_rep1_032	0.638727
mSp_rep1_033	0.695740
mSp_rep1_034	0.762167
mSp_rep1_035	0.713907
mSp_rep1_036	0.737803
mSp_rep1_037	0.783185
mSp_rep1_038	0.799215
mSp_rep1_039	0.576317
mSp_rep1_040	0.769189
mSp_rep1_041	0.731548
mSp_rep1_042	0.729991
mSp_rep1_043	0.749214
mSp_rep1_044	0.756907
mSp_rep1_045	0.779579
mSp_rep1_046	0.779633
mSp_rep1_047	0.752466
mSp_rep1_048	0.754572
mSp_rep1_049	0.705812
mSp_rep1_050	0.754490
mSp_rep1_051	0.775090
mSp_rep1_052	0.786242
mSp_rep1_053	0.734522
mSp_rep1_054	0.746816
mSp_rep1_055	0.753302
mSp_rep1_056	0.688408
mSp_rep1_057	0.827863
mSp_rep1_058	0.683153
mSp_rep1_059	0.779882
mSp_rep1_060	0.713255
mSp_rep1_061	0.745943
mSp_rep1_062	0.777936
mSp_rep1_063	0.811525
mSp_rep1_064	0.781928
mSp_rep1_065	0.783436
mSp_rep1_066	0.788704
mSp_rep1_067	0.748740
mSp_rep1_068	0.731543
mSp_rep1_069	0.065611
mSp_rep1_070	0.752914
mSp_rep1_071	0.750900
mSp_rep1_072	0.732695
mSp_rep1_073	0.727849
mSp_rep1_074	0.814740
mSp_rep1_075	0.733618
mSp_rep1_076	0.758480
mSp_rep1_077	0.687875
