cell	library_size
mSp_rep11_130	40187
mSp_rep11_131	31483
mSp_rep11_132	47025
mSp_rep11_133	24393
mSp_rep11_134	25043
mSp_rep11_135	18868
mSp_rep11_136	35087
mSp_rep11_137	25415
mSp_rep11_138	33934
mSp_rep11_139	38445
mSp_rep11_140	36969
mSp_rep11_141	29743
mSp_rep11_142	36958
mSp_rep11_143	22061
mSp_rep11_144	33055
mSp_rep11_145	26987
mSp_rep11_146	29560
mSp_rep11_147	30683
mSp_rep11_148	25553
mSp_rep11_149	35953
mSp_rep11_150	22174
mSp_rep11_151	43385
mSp_rep11_152	35977
mSp_rep11_153	37850
mSp_rep11_154	35675
mSp_rep11_155	28194
mSp_rep11_156	38919
mSp_rep11_157	26657
mSp_rep11_158	38629
mSp_rep11_159	7240
mSp_rep11_160	34664
mSp_rep11_161	42007
mSp_rep11_162	30601
mSp_rep11_163	28348
mSp_rep11_164	27158
mSp_rep11_165	12719
mSp_rep11_166	30285
mSp_rep11_167	28620
mSp_rep11_168	30979
mSp_rep11_169	27431
mSp_rep11_170	26465
mSp_rep11_171	36077
mSp_rep11_172	31433
mSp_rep11_173	36705
mSp_rep11_174	31145
mSp_rep11_175	15799
mSp_rep11_176	51563
mSp_rep11_177	35952
mSp_rep11_178	38234
mSp_rep11_179	34522
mSp_rep11_180	31579
mSp_rep11_181	35291
mSp_rep11_182	33825
mSp_rep11_183	37028
mSp_rep11_184	32838
mSp_rep11_185	38180
mSp_rep11_186	40642
mSp_rep11_187	33546
mSp_rep11_188	24797
mSp_rep11_189	32836
mSp_rep11_190	43941
mSp_rep11_191	35032
mSp_rep11_192	31590
mSp_rep11_193	24132
mSp_rep11_194	33373
mSp_rep11_195	34046
mSp_rep11_196	31871
mSp_rep11_197	22223
mSp_rep11_198	19816
mSp_rep11_199	15202
mSp_rep11_200	28729
mSp_rep11_201	9844
mSp_rep11_202	36687
mSp_rep11_203	30951
mSp_rep11_204	31289
mSp_rep11_205	29486
mSp_rep11_206	19060
mSp_rep11_207	13730
mSp_rep11_208	13289
mSp_rep11_209	30993
mSp_rep11_210	25804
mSp_rep11_211	32414
mSp_rep11_212	5790
mSp_rep11_213	20586
mSp_rep11_214	30702
mSp_rep11_215	35950
mSp_rep11_216	29250
mSp_rep11_217	17243
mSp_rep11_218	27674
mSp_rep11_219	26491
mSp_rep11_220	33862
mSp_rep11_221	34982
mSp_rep11_222	27274
mSp_rep11_223	37207
mSp_rep11_224	23874
mSp_rep11_225	11255
mSp_rep11_226	12646
mSp_rep11_227	23697
mSp_rep11_228	27125
mSp_rep11_229	36283
mSp_rep11_230	41748
mSp_rep11_231	32880
mSp_rep11_232	13546
mSp_rep11_233	21153
mSp_rep11_234	32849
mSp_rep11_235	30854
mSp_rep11_236	27951
mSp_rep11_237	31436
mSp_rep11_238	26236
mSp_rep11_239	24829
mSp_rep11_240	22978
mSp_rep11_241	32557
mSp_rep11_242	38776
mSp_rep11_243	4789
mSp_rep11_244	15343
mSp_rep11_245	29228
mSp_rep11_246	34222
mSp_rep11_247	28864
mSp_rep11_248	43604
mSp_rep11_249	26677
mSp_rep11_250	35455
mSp_rep11_251	23235
mSp_rep11_252	25954
mSp_rep11_253	18780
mSp_rep11_254	5013
mSp_rep11_255	33439
mSp_rep11_256	40278
mSp_rep11_257	27418
mSp_rep11_258	13797
mSp_rep11_259	39156
mSp_rep11_260	21473
mSp_rep11_261	34416
mSp_rep11_262	44911
mSp_rep11_263	32249
mSp_rep11_264	41141
mSp_rep11_265	13787
mSp_rep11_266	26367
mSp_rep11_267	27258
mSp_rep11_268	32583
mSp_rep11_269	11403
mSp_rep11_270	24115
mSp_rep11_271	28230
mSp_rep11_272	12561
mSp_rep11_273	29356
mSp_rep11_274	25085
mSp_rep11_275	7392
mSp_rep11_276	41098
mSp_rep11_277	36803
mSp_rep11_278	24565
mSp_rep11_279	21306
mSp_rep11_280	33140
mSp_rep11_281	30083
mSp_rep11_282	27011
mSp_rep11_283	32406
mSp_rep11_284	28503
mSp_rep11_285	31888
mSp_rep11_286	24651
mSp_rep11_287	35880
mSp_rep11_288	25953
mSp_rep11_289	36020
mSp_rep11_290	28064
mSp_rep11_291	30936
mSp_rep11_292	31543
mSp_rep11_293	25045
mSp_rep11_294	29110
mSp_rep11_295	8399
mSp_rep11_296	35115
mSp_rep11_297	36357
mSp_rep11_298	4947
mSp_rep11_299	43358
mSp_rep11_300	24017
mSp_rep11_301	29509
mSp_rep11_302	32559
mSp_rep11_303	32037
mSp_rep11_304	34648
mSp_rep11_305	38132
mSp_rep11_306	29652
mSp_rep11_307	8737
mSp_rep11_308	32679
mSp_rep11_309	34854
mSp_rep11_310	23405
mSp_rep11_311	36210
mSp_rep11_312	29505
mSp_rep11_313	34719
mSp_rep11_314	29828
mSp_rep11_315	25188
mSp_rep11_316	32198
mSp_rep11_317	29869
mSp_rep11_318	17897
mSp_rep11_319	37243
mSp_rep11_320	15311
mSp_rep11_321	19591
mSp_rep11_322	39099
mSp_rep11_323	26354
mSp_rep11_324	22875
mSp_rep11_325	24072
mSp_rep11_326	24554
mSp_rep11_327	41038
mSp_rep11_328	28493
mSp_rep11_329	26687
mSp_rep11_330	42782
mSp_rep11_331	25915
mSp_rep11_332	19198
mSp_rep11_333	28830
mSp_rep11_334	28137
mSp_rep11_335	12828
mSp_rep11_336	32246
mSp_rep11_337	33338
mSp_rep11_338	48510
mSp_rep11_339	13747
mSp_rep11_340	27908
mSp_rep11_341	5559
