cell	frip
mSp_rep3_329	0.768935
mSp_rep3_330	0.602848
mSp_rep3_331	0.595574
mSp_rep3_332	0.733330
mSp_rep3_333	0.579821
mSp_rep3_334	0.673523
mSp_rep3_335	0.746125
mSp_rep3_336	0.704273
mSp_rep3_337	0.714148
mSp_rep3_338	0.665773
mSp_rep3_339	0.756143
mSp_rep3_340	0.735207
mSp_rep3_341	0.670306
mSp_rep3_342	0.368298
mSp_rep3_343	0.750264
mSp_rep3_344	0.723335
mSp_rep3_345	0.700059
mSp_rep3_346	0.619508
mSp_rep3_347	0.575523
mSp_rep3_348	0.653583
mSp_rep3_349	0.736338
mSp_rep3_350	0.736947
mSp_rep3_351	0.698333
mSp_rep3_352	0.579629
mSp_rep3_353	0.743495
mSp_rep3_354	0.774208
mSp_rep3_355	0.699205
mSp_rep3_356	0.713012
mSp_rep3_357	0.716030
mSp_rep3_358	0.734396
mSp_rep3_359	0.694189
mSp_rep3_360	0.710327
mSp_rep3_361	0.786403
mSp_rep3_362	0.704580
mSp_rep3_363	0.551434
mSp_rep3_364	0.666607
mSp_rep3_365	0.723250
mSp_rep3_366	0.692308
mSp_rep3_367	0.670825
mSp_rep3_368	0.679492
mSp_rep3_369	0.695849
mSp_rep3_370	0.734636
mSp_rep3_371	0.709285
mSp_rep3_372	0.772059
mSp_rep3_373	0.711746
mSp_rep3_374	0.744830
mSp_rep3_375	0.736172
mSp_rep3_376	0.720425
mSp_rep3_377	0.700545
mSp_rep3_378	0.787500
mSp_rep3_379	0.711515
mSp_rep3_380	0.740421
mSp_rep3_381	0.682561
mSp_rep3_382	0.600785
mSp_rep3_383	0.740490
mSp_rep3_384	0.711111
mSp_rep4_001	0.629942
mSp_rep4_002	0.774924
mSp_rep4_003	0.769676
mSp_rep4_004	0.725432
mSp_rep4_005	0.759156
mSp_rep4_006	0.601757
mSp_rep4_007	0.683544
mSp_rep4_008	0.727312
mSp_rep4_009	0.711423
mSp_rep4_010	0.726548
mSp_rep4_011	0.593496
mSp_rep4_012	0.653941
mSp_rep4_013	0.742376
mSp_rep4_014	0.753917
mSp_rep4_015	0.562620
mSp_rep4_016	0.726753
mSp_rep4_017	0.749763
mSp_rep4_018	0.740941
mSp_rep4_019	0.615527
mSp_rep4_020	0.649824
mSp_rep4_021	0.758814
mSp_rep4_022	0.722695
mSp_rep4_023	0.815068
mSp_rep4_024	0.660041
mSp_rep4_025	0.777379
mSp_rep4_026	0.754019
mSp_rep4_027	0.691254
mSp_rep4_028	0.506082
mSp_rep4_029	0.729401
mSp_rep4_030	0.787634
mSp_rep4_031	0.770523
mSp_rep4_032	0.731082
mSp_rep4_033	0.776996
mSp_rep4_034	0.757552
mSp_rep4_035	0.673537
mSp_rep4_036	0.720481
mSp_rep4_037	0.747155
mSp_rep4_038	0.751330
mSp_rep4_039	0.656696
mSp_rep4_040	0.738164
mSp_rep4_041	0.672727
mSp_rep4_042	0.722101
mSp_rep4_043	0.740734
mSp_rep4_044	0.642683
mSp_rep4_045	0.765173
mSp_rep4_046	0.731550
mSp_rep4_047	0.723330
mSp_rep4_048	0.740918
mSp_rep4_049	0.638695
mSp_rep4_050	0.595121
mSp_rep4_051	0.735733
mSp_rep4_052	0.724744
mSp_rep4_053	0.749834
mSp_rep4_054	0.768111
mSp_rep4_055	0.822174
mSp_rep4_056	0.719082
mSp_rep4_057	0.728578
mSp_rep4_058	0.722432
mSp_rep4_059	0.737366
mSp_rep4_060	0.744744
