cell	mapping_rate
mSp_rep3_052	95.91
mSp_rep3_053	96.81
mSp_rep3_054	97.18
mSp_rep3_055	97.08
mSp_rep3_056	96.77
mSp_rep3_057	97.23
mSp_rep3_058	97.27
mSp_rep3_059	93.97
mSp_rep3_060	96.98
mSp_rep3_061	97.00
mSp_rep3_062	96.78
mSp_rep3_063	96.80
mSp_rep3_064	96.76
mSp_rep3_065	97.17
mSp_rep3_066	95.55
mSp_rep3_067	97.10
mSp_rep3_068	96.55
mSp_rep3_069	94.71
mSp_rep3_070	96.20
mSp_rep3_071	97.24
mSp_rep3_072	97.04
mSp_rep3_073	97.25
mSp_rep3_074	97.78
mSp_rep3_075	97.12
mSp_rep3_076	97.48
mSp_rep3_077	97.79
mSp_rep3_078	97.32
mSp_rep3_079	96.91
mSp_rep3_080	97.15
mSp_rep3_081	91.53
mSp_rep3_082	96.28
mSp_rep3_083	97.37
mSp_rep3_084	96.59
mSp_rep3_085	97.33
mSp_rep3_086	97.65
mSp_rep3_087	97.62
mSp_rep3_088	97.34
mSp_rep3_089	97.47
mSp_rep3_090	97.82
mSp_rep3_091	97.63
mSp_rep3_092	98.07
mSp_rep3_093	96.61
mSp_rep3_094	97.25
mSp_rep3_095	96.05
mSp_rep3_096	94.53
mSp_rep3_097	95.79
mSp_rep3_098	97.29
mSp_rep3_099	96.84
mSp_rep3_100	96.62
mSp_rep3_101	97.44
mSp_rep3_102	97.04
mSp_rep3_103	97.02
mSp_rep3_104	97.17
mSp_rep3_105	96.73
mSp_rep3_106	97.17
mSp_rep3_107	97.13
mSp_rep3_108	97.75
mSp_rep3_109	97.35
mSp_rep3_110	96.87
mSp_rep3_111	96.57
mSp_rep3_112	97.59
mSp_rep3_113	97.11
mSp_rep3_114	96.86
mSp_rep3_115	97.13
mSp_rep3_116	97.48
mSp_rep3_117	96.99
mSp_rep3_118	97.28
mSp_rep3_119	95.87
mSp_rep3_120	96.73
mSp_rep3_121	96.91
mSp_rep3_122	97.22
mSp_rep3_123	97.16
