cell	library_size
mSp_rep2_039	37551
mSp_rep2_040	57169
mSp_rep2_041	22355
mSp_rep2_042	7063
mSp_rep2_043	22638
mSp_rep2_044	37768
mSp_rep2_045	39916
mSp_rep2_046	36784
mSp_rep2_047	29131
mSp_rep2_048	32829
mSp_rep2_049	69764
mSp_rep2_050	54914
mSp_rep2_051	32785
mSp_rep2_052	274
mSp_rep2_053	25347
mSp_rep2_054	33228
mSp_rep2_055	2388
mSp_rep2_056	27843
mSp_rep2_057	32295
mSp_rep2_058	29332
mSp_rep2_059	25691
mSp_rep2_060	21403
mSp_rep2_061	21505
mSp_rep2_062	17900
mSp_rep2_063	64662
mSp_rep2_064	28135
mSp_rep2_065	6489
mSp_rep2_066	36937
mSp_rep2_067	24723
mSp_rep2_068	22980
mSp_rep2_069	35528
mSp_rep2_070	34912
mSp_rep2_071	30436
mSp_rep2_072	33457
mSp_rep2_073	31328
mSp_rep2_074	8099
mSp_rep2_075	64881
mSp_rep2_076	4950
mSp_rep2_077	29211
mSp_rep2_078	100108
mSp_rep2_079	5334
mSp_rep2_080	26882
mSp_rep2_081	37342
mSp_rep2_082	18398
mSp_rep2_083	22660
mSp_rep2_084	24220
mSp_rep2_085	33073
mSp_rep2_086	31283
mSp_rep2_087	31684
mSp_rep2_088	30963
mSp_rep2_089	28354
mSp_rep2_090	33991
mSp_rep2_091	16583
mSp_rep2_092	31653
mSp_rep2_093	5794
mSp_rep2_094	37202
mSp_rep2_095	30217
mSp_rep2_096	1594
mSp_rep3_001	35235
mSp_rep3_002	7745
mSp_rep3_003	135881
mSp_rep3_004	38780
mSp_rep3_005	35690
mSp_rep3_006	33014
mSp_rep3_007	26160
mSp_rep3_008	48511
mSp_rep3_009	36896
mSp_rep3_010	32090
mSp_rep3_011	35426
mSp_rep3_012	40138
mSp_rep3_013	34360
mSp_rep3_014	32561
mSp_rep3_015	30935
mSp_rep3_016	42032
mSp_rep3_017	23871
mSp_rep3_018	20371
mSp_rep3_019	21133
mSp_rep3_020	25072
mSp_rep3_021	20431
mSp_rep3_022	25458
mSp_rep3_023	23577
mSp_rep3_024	35382
mSp_rep3_025	26235
mSp_rep3_026	7963
mSp_rep3_027	33718
mSp_rep3_028	35835
mSp_rep3_029	32389
mSp_rep3_030	32275
mSp_rep3_031	53016
mSp_rep3_032	37222
mSp_rep3_033	89563
mSp_rep3_034	28912
mSp_rep3_035	89837
mSp_rep3_036	10012
mSp_rep3_037	30857
mSp_rep3_038	29880
mSp_rep3_039	32537
mSp_rep3_040	758
mSp_rep3_041	23687
mSp_rep3_042	3829
mSp_rep3_043	31338
mSp_rep3_044	28269
mSp_rep3_045	20254
mSp_rep3_046	63700
mSp_rep3_047	20851
mSp_rep3_048	14334
mSp_rep3_049	37896
mSp_rep3_050	36880
mSp_rep3_051	38630
mSp_rep3_052	35750
mSp_rep3_053	68869
mSp_rep3_054	45964
mSp_rep3_055	24083
mSp_rep3_056	36146
mSp_rep3_057	36566
