cell	mapping_rate
mSp_rep3_176	96.20
mSp_rep3_177	97.07
mSp_rep3_178	96.18
mSp_rep3_179	97.37
mSp_rep3_180	97.08
mSp_rep3_181	96.56
mSp_rep3_182	96.98
mSp_rep3_183	97.87
mSp_rep3_184	97.30
mSp_rep3_185	97.41
mSp_rep3_186	94.43
mSp_rep3_187	97.53
mSp_rep3_188	97.28
mSp_rep3_189	97.74
mSp_rep3_190	94.66
mSp_rep3_191	97.24
mSp_rep3_192	94.99
mSp_rep3_193	97.30
mSp_rep3_194	97.33
mSp_rep3_195	96.22
mSp_rep3_196	96.78
mSp_rep3_197	97.53
mSp_rep3_198	96.44
mSp_rep3_199	97.23
mSp_rep3_200	96.78
mSp_rep3_201	94.29
mSp_rep3_202	96.53
mSp_rep3_203	97.60
mSp_rep3_204	97.11
mSp_rep3_205	97.24
mSp_rep3_206	97.72
mSp_rep3_207	95.41
mSp_rep3_208	97.47
mSp_rep3_209	97.16
mSp_rep3_210	97.43
mSp_rep3_211	95.46
mSp_rep3_212	97.06
mSp_rep3_213	97.86
mSp_rep3_214	96.89
mSp_rep3_215	97.45
mSp_rep3_216	97.42
mSp_rep3_217	97.43
mSp_rep3_218	96.58
mSp_rep3_219	97.47
mSp_rep3_220	97.63
mSp_rep3_221	97.31
mSp_rep3_222	96.22
mSp_rep3_223	94.73
mSp_rep3_224	97.48
mSp_rep3_225	96.96
mSp_rep3_226	96.93
mSp_rep3_227	96.15
mSp_rep3_228	97.12
mSp_rep3_229	97.72
mSp_rep3_230	97.37
mSp_rep3_231	97.59
mSp_rep3_232	97.67
mSp_rep3_233	97.41
mSp_rep3_234	96.80
mSp_rep3_235	96.44
mSp_rep3_236	97.42
mSp_rep3_237	97.05
mSp_rep3_238	97.51
mSp_rep3_239	96.83
mSp_rep3_240	96.93
mSp_rep3_241	97.62
mSp_rep3_242	97.24
mSp_rep3_243	97.28
mSp_rep3_244	97.72
mSp_rep3_245	96.88
mSp_rep3_246	97.99
mSp_rep3_247	96.29
mSp_rep3_248	97.29
mSp_rep3_249	97.14
mSp_rep3_250	96.76
mSp_rep3_251	97.15
mSp_rep3_252	97.20
mSp_rep3_253	97.59
mSp_rep3_254	97.81
mSp_rep3_255	96.88
mSp_rep3_256	83.33
mSp_rep3_257	97.00
mSp_rep3_258	95.34
mSp_rep3_259	97.55
mSp_rep3_260	97.50
mSp_rep3_261	97.59
mSp_rep3_262	96.31
mSp_rep3_263	97.33
mSp_rep3_264	97.35
mSp_rep3_265	97.69
mSp_rep3_266	97.09
mSp_rep3_267	97.20
mSp_rep3_268	96.85
mSp_rep3_269	97.00
mSp_rep3_270	59.09
mSp_rep3_271	96.88
mSp_rep3_272	96.93
mSp_rep3_273	96.49
mSp_rep3_274	97.41
mSp_rep3_275	96.64
mSp_rep3_276	96.60
mSp_rep3_277	97.32
mSp_rep3_278	97.46
mSp_rep3_279	97.65
mSp_rep3_280	97.36
mSp_rep3_281	97.01
mSp_rep3_282	97.15
mSp_rep3_283	97.63
mSp_rep3_284	96.45
mSp_rep3_285	97.08
mSp_rep3_286	97.34
mSp_rep3_287	95.60
mSp_rep3_288	96.82
mSp_rep3_289	97.48
mSp_rep3_290	96.90
mSp_rep3_291	97.06
mSp_rep3_292	95.71
mSp_rep3_293	96.98
mSp_rep3_294	97.51
mSp_rep3_295	96.92
mSp_rep3_296	96.29
mSp_rep3_297	97.24
mSp_rep3_298	97.24
mSp_rep3_299	97.22
mSp_rep3_300	95.83
mSp_rep3_301	97.76
mSp_rep3_302	96.85
mSp_rep3_303	97.03
mSp_rep3_304	97.21
mSp_rep3_305	97.47
mSp_rep3_306	96.30
mSp_rep3_307	97.33
mSp_rep3_308	97.98
mSp_rep3_309	97.43
mSp_rep3_310	97.01
mSp_rep3_311	97.34
mSp_rep3_312	97.41
mSp_rep3_313	78.33
mSp_rep3_314	95.94
mSp_rep3_315	96.37
mSp_rep3_316	97.39
mSp_rep3_317	94.79
mSp_rep3_318	97.26
mSp_rep3_319	94.82
mSp_rep3_320	97.15
mSp_rep3_321	96.96
mSp_rep3_322	95.19
mSp_rep3_323	96.30
mSp_rep3_324	95.11
mSp_rep3_325	97.54
mSp_rep3_326	97.99
mSp_rep3_327	97.69
mSp_rep3_328	97.41
mSp_rep3_329	97.60
mSp_rep3_330	94.59
mSp_rep3_331	97.38
mSp_rep3_332	96.86
mSp_rep3_333	98.10
mSp_rep3_334	97.47
mSp_rep3_335	97.47
mSp_rep3_336	97.08
mSp_rep3_337	96.39
mSp_rep3_338	96.97
mSp_rep3_339	96.23
mSp_rep3_340	96.98
mSp_rep3_341	96.92
mSp_rep3_342	97.45
mSp_rep3_343	96.08
mSp_rep3_344	96.63
mSp_rep3_345	97.25
mSp_rep3_346	97.77
mSp_rep3_347	96.89
