study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	sample_title
PRJNA392905	SAMN07311992	SRS2332875	SRX2978983	SRR5799516	10090	Mus musculus	NextSeq 500	PAIRED	B.T3.Sp#2
PRJNA392905	SAMN07311991	SRS2332876	SRX2978984	SRR5799517	10090	Mus musculus	NextSeq 500	PAIRED	B1b.PC#2
PRJNA392905	SAMN07311990	SRS2332877	SRX2978985	SRR5799518	10090	Mus musculus	NextSeq 500	PAIRED	MF.Alv.Lu#1
PRJNA392905	SAMN07311989	SRS2332878	SRX2978986	SRR5799519	10090	Mus musculus	NextSeq 500	PAIRED	MF.Alv.Lu#2
PRJNA392905	SAMN07311988	SRS2332879	SRX2978987	SRR5799520	10090	Mus musculus	NextSeq 500	PAIRED	MF.pIC.Alv.Lu#1
PRJNA392905	SAMN07311987	SRS2332880	SRX2978988	SRR5799521	10090	Mus musculus	NextSeq 500	PAIRED	MF.pIC.Alv.Lu#2
PRJNA392905	SAMN07311986	SRS2332882	SRX2978989	SRR5799522	10090	Mus musculus	NextSeq 500	PAIRED	MF.SI.LP#1
PRJNA392905	SAMN07311985	SRS2332881	SRX2978990	SRR5799523	10090	Mus musculus	NextSeq 500	PAIRED	MF.SI.LP#2
PRJNA392905	SAMN07311984	SRS2332883	SRX2978991	SRR5799524	10090	Mus musculus	NextSeq 500	PAIRED	DC.103+11b-.SI#1
PRJNA392905	SAMN07311983	SRS2332884	SRX2978992	SRR5799525	10090	Mus musculus	NextSeq 500	PAIRED	DC.103+11b-.SI#2
PRJNA392905	SAMN07311982	SRS2332885	SRX2978993	SRR5799526	10090	Mus musculus	NextSeq 500	PAIRED	DC.103+11b+.SI#1
PRJNA392905	SAMN07311981	SRS2332886	SRX2978994	SRR5799527	10090	Mus musculus	NextSeq 500	PAIRED	DC.103+11b+.SI#2
PRJNA392905	SAMN07311980	SRS2332887	SRX2978995	SRR5799528	10090	Mus musculus	NextSeq 500	PAIRED	MMP3.48+.BM#1
PRJNA392905	SAMN07311979	SRS2332888	SRX2978996	SRR5799529	10090	Mus musculus	NextSeq 500	PAIRED	MF.PC#2
PRJNA392905	SAMN07311978	SRS2332889	SRX2978997	SRR5799530	10090	Mus musculus	NextSeq 500	PAIRED	MMP4.135+.BM#1
PRJNA392905	SAMN07311977	SRS2332890	SRX2978998	SRR5799531	10090	Mus musculus	NextSeq 500	PAIRED	MF.Fem.PC#1
PRJNA392905	SAMN07311976	SRS2332891	SRX2978999	SRR5799532	10090	Mus musculus	NextSeq 500	PAIRED	MF.PC#1
PRJNA392905	SAMN07311975	SRS2332892	SRX2979000	SRR5799533	10090	Mus musculus	NextSeq 500	PAIRED	proB.CLP.BM#1
PRJNA392905	SAMN07311974	SRS2332893	SRX2979001	SRR5799534	10090	Mus musculus	NextSeq 500	PAIRED	T.4.Nve.Fem.Sp#1
PRJNA392905	SAMN07311973	SRS2332894	SRX2979002	SRR5799535	10090	Mus musculus	NextSeq 500	PAIRED	T.4.Nve.Fem.Sp#2
PRJNA392905	SAMN07311954	SRS2332895	SRX2979003	SRR5799536	10090	Mus musculus	NextSeq 500	PAIRED	MF.Fem.PC#2
PRJNA392905	SAMN07312029	SRS2332896	SRX2979004	SRR5799537	10090	Mus musculus	NextSeq 500	PAIRED	LTHSC.34+.BM#1
PRJNA392905	SAMN07312028	SRS2332897	SRX2979005	SRR5799538	10090	Mus musculus	NextSeq 500	PAIRED	LTHSC.34-.BM#1
PRJNA392905	SAMN07312027	SRS2332898	SRX2979006	SRR5799539	10090	Mus musculus	NextSeq 500	PAIRED	STHSC.150-.BM#1
PRJNA392905	SAMN07312022	SRS2332899	SRX2979007	SRR5799540	10090	Mus musculus	NextSeq 500	PAIRED	MF.microglia.CNS#2
PRJNA392905	SAMN07312021	SRS2332901	SRX2979008	SRR5799541	10090	Mus musculus	NextSeq 500	PAIRED	Mo.6C+II-.Bl#3
PRJNA392905	SAMN07312020	SRS2332902	SRX2979009	SRR5799542	10090	Mus musculus	NextSeq 500	PAIRED	Mo.6C-II-.Bl#3
PRJNA392905	SAMN07312026	SRS2332900	SRX2979010	SRR5799543	10090	Mus musculus	NextSeq 500	PAIRED	MF.ICAM+480hi.PC#3
PRJNA392905	SAMN07312025	SRS2332903	SRX2979011	SRR5799544	10090	Mus musculus	NextSeq 500	PAIRED	MF.ICAM+480hi.PC#4
PRJNA392905	SAMN07312024	SRS2332904	SRX2979012	SRR5799545	10090	Mus musculus	NextSeq 500	PAIRED	preT.DN3.Th#2
PRJNA392905	SAMN07312023	SRS2332905	SRX2979013	SRR5799546	10090	Mus musculus	NextSeq 500	PAIRED	T.DP.Th#1
PRJNA392905	SAMN07312019	SRS2332906	SRX2979014	SRR5799547	10090	Mus musculus	NextSeq 500	PAIRED	T.DP.Th#2
PRJNA392905	SAMN07312018	SRS2332907	SRX2979015	SRR5799548	10090	Mus musculus	NextSeq 500	PAIRED	GN.Thio.PC#2
PRJNA392905	SAMN07312017	SRS2332908	SRX2979016	SRR5799549	10090	Mus musculus	NextSeq 500	PAIRED	GN.Thio.PC#3
PRJNA392905	SAMN07312016	SRS2332909	SRX2979017	SRR5799550	10090	Mus musculus	NextSeq 500	PAIRED	FRC.CD140a+.Madcam-.CD35-.SLN#2
PRJNA392905	SAMN07312015	SRS2332910	SRX2979018	SRR5799551	10090	Mus musculus	NextSeq 500	PAIRED	DC.8+.Sp#2
PRJNA392905	SAMN07312014	SRS2332912	SRX2979019	SRR5799552	10090	Mus musculus	NextSeq 500	PAIRED	BEC.SLN#2
PRJNA392905	SAMN07312013	SRS2332911	SRX2979020	SRR5799553	10090	Mus musculus	NextSeq 500	PAIRED	DC.pDC.Sp#2
PRJNA392905	SAMN07312012	SRS2332913	SRX2979021	SRR5799554	10090	Mus musculus	NextSeq 500	PAIRED	Tgd.Sp#2
PRJNA392905	SAMN07312011	SRS2332914	SRX2979022	SRR5799555	10090	Mus musculus	NextSeq 500	PAIRED	T.8.Nve.Sp#2
PRJNA392905	SAMN07312010	SRS2332915	SRX2979023	SRR5799556	10090	Mus musculus	NextSeq 500	PAIRED	B.PB.Sp#2
PRJNA392905	SAMN07312009	SRS2332916	SRX2979024	SRR5799557	10090	Mus musculus	NextSeq 500	PAIRED	B.PC.Sp#2
PRJNA392905	SAMN07312008	SRS2332917	SRX2979025	SRR5799558	10090	Mus musculus	NextSeq 500	PAIRED	Treg.4.25hi.Sp#1
PRJNA392905	SAMN07312007	SRS2332918	SRX2979026	SRR5799559	10090	Mus musculus	NextSeq 500	PAIRED	Treg.4.25hi.Sp#2
PRJNA392905	SAMN07312006	SRS2332919	SRX2979027	SRR5799560	10090	Mus musculus	NextSeq 500	PAIRED	B.Fem.Sp#1
PRJNA392905	SAMN07312005	SRS2332920	SRX2979028	SRR5799561	10090	Mus musculus	NextSeq 500	PAIRED	B.Fem.Sp#2
