Data File Name,mSp_scATAC_High Sensitivity DNA Assay_DEDAE00427_2018-02-21_18-47-26.xad
Data File Path,C:\Users\AgilentP302\Documents\Xi\2018-02-21
Date Created,21 February 2018 18:47:25
Date Last Modified,21 February 2018 19:20:12
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
72.8,0.1963159
72.85,0.1337593
72.9,0.1243714
72.95,0.1840188
73,0.1270514
73.05,8.118794E-02
73.1,4.820063E-02
73.15,-5.929994E-02
73.2,-2.433116E-03
73.25,-1.581507E-02
73.3,6.410494E-02
73.35,9.141254E-02
73.4,9.065015E-02
73.45,-8.281374E-02
73.5,-0.2067776
73.55,-0.2842371
73.6,-0.1846782
73.65,8.714256E-03
73.7,6.613934E-02
73.75,6.579809E-02
73.8,7.911058E-02
73.85,7.668561E-02
73.9,-1.072615E-02
73.95,-3.275553E-02
74,-8.417901E-02
74.05,-0.0741088
74.1,-7.774717E-02
74.15,-7.960859E-02
74.2,-0.1821834
74.25,-0.2702249
74.3,-0.3135673
74.35,-0.304343
74.4,-0.3175164
74.45,-0.310369
74.5,-0.2574297
74.55,-0.3345209
74.6,-0.408235
74.65,-0.3903368
74.7,-0.430618
74.75,-0.5021638
74.8,-0.676487
74.85,-0.7945516
74.9,-0.6322768
74.95,-0.3955382
75,-0.1347085
75.05,-7.454187E-02
75.1,-0.2976066
75.15,-0.6178334
75.2,-0.7232656
75.25,-0.7053795
75.3,-0.7678084
75.35,-0.6295048
75.4,-0.6229616
75.45,-0.7288064
75.5,-0.7054339
75.55,-0.5135164
75.6,-0.4339198
75.65,-0.4773006
75.7,-0.4943464
75.75,-0.7147096
75.8,-0.8566698
75.85,-0.8304771
75.9,-0.6987584
75.95,-0.6583792
76,-0.5706023
76.05,-0.5700316
76.1,-0.7249097
76.15,-0.7660593
76.2,-0.7038008
76.25,-0.6516811
76.3,-0.607093
76.35,-0.6153573
76.4,-0.7721143
76.45,-0.8454489
76.5,-0.8122323
76.55,-0.8446237
76.6,-0.9852755
76.65,-0.9432761
76.7,-0.9960295
76.75,-1.073128
76.8,-0.8686877
76.85,-0.7113355
76.9,-0.6038519
76.95,-0.5800254
77,-0.5440006
77.05,-0.6923245
77.1,-0.6870101
77.15,-0.3893982
77.2,4.274587E-02
77.25,0.9240246
77.3,3.190696
77.35,8.51337
77.4,20.3574
77.45,41.81385
77.5,73.49024
77.55,116.4757
77.6,169.7343
77.65,226.8665
77.7,277.5161
77.75,311.6096
77.8,324.4056
77.85,312.8193
77.9,280.4615
77.95,234.3701
78,182.4458
78.05,134.3793
78.1,96.03483
78.15,68.89594
78.2,50.26884
78.25,38.12141
78.3,30.14468
78.35,24.43939
78.4,20.1853
78.45,17.31093
78.5,15.19959
78.55,13.4096
78.6,11.60777
78.65,10.0061
78.7,8.468509
78.75,7.309056
78.8,6.502151
78.85,5.70223
78.9,5.071442
78.95,4.398948
79,3.673376
79.05,3.072464
79.1,2.638201
79.15,2.287839
79.2,2.00209
79.25,1.856248
79.3,1.631382
79.35,1.515166
79.4,1.32324
79.45,1.062768
79.5,0.9718443
79.55,0.994418
79.6,1.011329
79.65,0.9292777
79.7,0.8469599
79.75,0.7205403
79.8,0.7542731
79.85,0.7940748
79.9,0.6691613
79.95,0.2919436
80,-2.964516E-02
80.05,2.708899E-02
80.1,-9.177039E-02
80.15,-0.1973937
80.2,-0.1778873
80.25,-0.0610981
80.3,-5.591502E-02
80.35,-8.921652E-02
80.4,-0.3470079
80.45,-0.6146155
80.5,-0.6777207
80.55,-0.5897757
80.6,-0.4915145
80.65,-0.4877826
80.7,-0.4752344
80.75,-0.5435653
80.8,-0.5651745
80.85,-0.6845195
80.9,-0.7480983
80.95,-0.7888487
81,-0.729032
81.05,-0.6128097
81.1,-0.5654247
81.15,-0.5661685
81.2,-0.7039812
81.25,-0.8203002
81.3,-0.8954578
81.35,-1.037732
81.4,-1.129179
81.45,-1.132709
81.5,-1.132402
81.55,-1.061758
81.6,-1.011103
81.65,-1.023166
81.7,-1.097803
81.75,-1.073148
81.8,-1.162514
81.85,-1.121476
81.9,-1.137722
81.95,-1.18556
82,-1.310005
82.05,-1.247989
82.1,-1.293518
82.15,-1.398232
82.2,-1.174628
82.25,-1.028517
82.3,-1.045134
82.35,-1.17247
82.4,-1.384569
82.45,-1.652206
82.5,-1.784014
82.55,-1.573855
82.6,-1.453008
82.65,-1.414249
82.7,-1.225393
82.75,-1.15844
82.8,-0.8403852
82.85,0.1975296
82.9,3.128008
82.95,9.163577
83,20.27098
83.05,38.59987
83.1,66.73933
83.15,106.5304
83.2,154.2091
83.25,205.4873
83.3,253.741
83.35,291.8125
83.4,315.1754
83.45,318.7092
83.5,300.8751
83.55,267.8321
83.6,226.2328
83.65,182.5332
83.7,142.7886
83.75,110.565
83.8,86.66908
83.85,69.60992
83.9,57.01735
83.95,47.49837
84,40.17558
84.05,34.50623
84.1,30.25065
84.15,26.92686
84.2,23.5321
84.25,20.74051
84.3,18.69378
84.35,17.04507
84.4,15.63308
84.45,13.98294
84.5,12.49465
84.55,10.81638
84.6,9.726027
84.65,9.117829
84.7,8.412135
84.75,7.468497
84.8,6.477878
84.85,5.968579
84.9,5.828139
84.95,5.891967
85,5.52984
85.05,4.635954
85.1,3.77164
85.15,3.213228
85.2,3.129583
85.25,3.128443
85.3,3.081367
85.35,2.955556
85.4,2.611468
85.45,2.464884
85.5,2.080023
85.55,1.860571
85.6,1.764218
85.65,1.797329
85.7,1.839324
85.75,1.862502
85.8,1.738097
85.85,1.114791
85.9,0.6655343
85.95,0.4149999
86,0.4320738
86.05,0.5930954
86.1,0.6390416
86.15,0.5179139
86.2,0.3961695
86.25,0.4021976
86.3,0.4285209
86.35,0.3833545
86.4,7.522742E-02
86.45,-0.1935109
86.5,-0.3081638
86.55,-0.3859031
86.6,-0.3401009
86.65,-0.2148869
86.7,-0.1260352
86.75,-0.1829413
86.8,-0.19529
86.85,-0.2358799
86.9,-6.620055E-02
86.95,5.392194E-02
87,3.005135E-02
87.05,-4.072045E-02
87.1,-8.955168E-02
87.15,-9.524677E-02
87.2,-4.862127E-02
87.25,-0.2065095
87.3,-0.4379408
87.35,-0.520826
87.4,-0.4296151
87.45,-0.4154029
87.5,-0.4305868
87.55,-0.2438362
87.6,7.962641E-02
87.65,0.6040792
87.7,1.586221
87.75,4.011058
87.8,9.09286
87.85,18.49147
87.9,35.04502
87.95,59.68756
88,92.08884
88.05,133.5918
88.1,184.3467
88.15,239.5359
88.2,291.8716
88.25,331.3941
88.3,355.4164
88.35,361.4838
88.4,349.8019
88.45,322.0064
88.5,282.538
88.55,238.2253
88.6,195.0996
88.65,157.7413
88.7,125.6824
88.75,98.69626
88.8,77.39894
88.85,61.88746
88.9,50.82081
88.95,42.17137
89,35.32795
89.05,29.82218
89.1,25.17732
89.15,21.56281
89.2,18.58699
89.25,15.75259
89.3,13.39278
89.35,11.56021
89.4,10.05818
89.45,8.741773
89.5,7.909589
89.55,6.998949
89.6,5.941414
89.65,5.071959
89.7,4.25393
89.75,3.670569
89.8,3.245641
89.85,2.773815
89.9,2.294464
89.95,2.094046
90,2.023304
90.05,1.833458
90.1,1.452189
90.15,0.9642588
90.2,0.4461252
90.25,0.2546812
90.3,0.1739171
90.35,0.1498638
90.4,0.1994218
90.45,0.2858357
90.5,0.3235349
90.55,0.2310321
90.6,0.3066189
90.65,0.5822642
90.7,1.688064
90.75,4.235967
90.8,9.482585
90.85,19.05885
90.9,34.25715
90.95,57.51997
91,89.45515
91.05,130.1244
91.1,177.6714
91.15,228.1331
91.2,276.1896
91.25,316.058
91.3,341.2696
91.35,350.3544
91.4,342.9451
91.45,321.379
91.5,288.7675
91.55,249.6868
91.6,209.9406
91.65,172.8643
91.7,140.181
91.75,112.865
91.8,90.68701
91.85,72.8755
91.9,59.66625
91.95,49.93563
92,41.30494
92.05,34.00248
92.1,28.23639
92.15,23.82629
92.2,20.76375
92.25,18.95069
92.3,17.37773
92.35,15.63362
92.4,13.84007
92.45,11.99158
92.5,10.24779
92.55,8.843659
92.6,7.872366
92.65,6.847863
92.7,5.98682
92.75,5.227582
92.8,4.722595
92.85,4.45067
92.9,4.312498
92.95,3.890653
93,3.503623
93.05,3.237286
93.1,2.886919
93.15,2.454618
93.2,2.101304
93.25,1.878985
93.3,1.772636
93.35,1.743726
93.4,1.347257
93.45,0.9806942
93.5,0.9652634
93.55,1.035146
93.6,1.251955
93.65,1.0348
93.7,0.7120512
93.75,0.6094527
93.8,0.511669
93.85,0.350066
93.9,0.2305879
93.95,0.2753481
94,0.1268907
94.05,5.174173E-02
94.1,3.625326E-02
94.15,-0.1991293
94.2,-0.3188317
94.25,-0.3694963
94.3,-0.4487216
94.35,-0.2503355
94.4,9.140147E-02
94.45,0.2290896
94.5,5.079967E-03
94.55,-0.3958698
94.6,-0.5053479
94.65,-0.4353556
94.7,-0.1993354
94.75,0.6551537
94.8,2.549719
94.85,6.111241
94.9,11.92947
94.95,20.48817
95,33.56421
95.05,52.97154
95.1,78.50327
95.15,110.6873
95.2,148.651
95.25,191.1757
95.3,234.3192
95.35,275.2254
95.4,310.0669
95.45,335.5061
95.5,348.4531
95.55,349.7467
95.6,341.0665
95.65,321.4272
95.7,296.9485
95.75,269.7544
95.8,240.9209
95.85,211.415
95.9,182.0439
95.95,153.715
96,127.9206
96.05,108.8182
96.1,93.73502
96.15,80.52658
96.2,67.59658
96.25,55.87162
96.3,46.33644
96.35,38.93803
96.4,34.11483
96.45,29.89086
96.5,25.42177
96.55,21.31766
96.6,18.0237
96.65,15.34959
96.7,13.78459
96.75,12.75103
96.8,11.71033
96.85,10.29035
96.9,8.808598
96.95,7.688742
97,6.74185
97.05,6.005496
97.1,5.182646
97.15,4.372171
97.2,3.682152
